,syllable,count,P,F
74,ɡŋ,2869,0.002838784,0.4374220794
75,kœn,2857,0.0028269104,0.4402489898
76,zə,2805,0.002775458,0.4430244478
77,aʊs,2797,0.0027675423,0.4457919901
78,ɡən,2696,0.002667606,0.4484595961
79,tsaɪt,2593,0.0025656908,0.4510252868
80,fraɪ,2509,0.0024825755,0.4535078623
81,ɒal,2476,0.002449923,0.4559577853
82,ʊnt,2460,0.0024340915,0.4583918769
83,nɔʏn,2454,0.0024281547,0.4608200316
84,əs,2441,0.0024152916,0.4632353232
85,maɪ,2430,0.0024044075,0.4656397307
86,iː,2416,0.0023905549,0.4680302856
87,vɛn,2415,0.0023895655,0.4704198511
88,fi,2390,0.0023648288,0.4727846799
89,taː,2365,0.0023400921,0.4751247719
90,dɛn,2330,0.0023054607,0.4774302326
91,ɒam,2323,0.0022985344,0.479728767
92,ɒaː,2293,0.0022688504,0.4819976174
93,ɒaɪn,2246,0.0022223454,0.4842199627
94,aʊf,2237,0.0022134401,0.4864334029
95,fɔn,2233,0.0022094823,0.4886428851
96,ho,2203,0.0021797982,0.4908226834
97,max,2181,0.0021580299,0.4929807133
98,ɒʊnt,2159,0.0021362616,0.4951169749
99,tsuː,2158,0.0021352722,0.4972522471
100,mɪç,2143,0.0021204301,0.4993726772
101,ap,2131,0.0021085565,0.5014812337
102,zeːɐ,2125,0.0021026197,0.5035838535
103,tsvaɪ,2114,0.0020917356,0.505675589
104,ɪm,2114,0.0020917356,0.5077673246
105,hal,2106,0.0020838198,0.5098511444
106,haːm,2092,0.0020699673,0.5119211117
107,ɒɪn,2077,0.0020551252,0.5139762369
108,juː,2069,0.0020472095,0.5160234464
109,mm,2061,0.0020392938,0.5180627402
110,trɛf,2037,0.0020155465,0.5200782867
111,keː,2020,0.0019987256,0.5220770123
112,ɒo,2005,0.0019838835,0.5240608958
113,a,1989,0.0019680521,0.5260289479
114,ʃoːn,1981,0.0019601363,0.5279890842
115,ma,1977,0.0019561784,0.5299452626
116,han,1949,0.0019284733,0.531873736
117,fɔm,1936,0.0019156102,0.5337893462
118,yː,1924,0.0019037366,0.5356930828
119,raɪ,1890,0.0018700947,0.5375631775
120,fɐ,1888,0.0018681158,0.5394312933
121,nɪç,1875,0.0018552527,0.541286546
122,kɔm,1864,0.0018443685,0.5431309145
123,tsu,1842,0.0018226002,0.5449535148
124,haː,1833,0.001813695,0.5467672098
125,tɛl,1832,0.0018127056,0.5485799154
126,ɒaɪ,1825,0.0018057793,0.5503856947
127,laɪçt,1818,0.001798853,0.5521845477
128,maɪn,1798,0.0017790636,0.5539636113
129,dɔx,1795,0.0017760952,0.5557397066
130,aːr,1786,0.00176719,0.5575068966
131,ɡeːt,1782,0.0017632322,0.5592701287
132,aʊ,1773,0.0017543269,0.5610244557
133,tsʊm,1769,0.0017503691,0.5627748248
134,ɪ,1750,0.0017315692,0.5645063939
135,ɪst,1734,0.0017157377,0.5662221316
136,mʏs,1723,0.0017048535,0.5679269852
137,iːn,1720,0.0017018851,0.5696288703
138,mɪ,1712,0.0016939694,0.5713228397
139,ɡeː,1704,0.0016860536,0.5730088933
140,fiːɐ,1673,0.0016553801,0.5746642735
141,ɒan,1657,0.0016395486,0.5763038221
142,hɛt,1642,0.0016247066,0.5779285287
143,kan,1639,0.0016217382,0.579550267
144,fɪɐ,1614,0.0015970015,0.5811472685
145,neː,1613,0.001596012,0.5827432805
146,nɐ,1608,0.0015910647,0.5843343452
147,diːns,1590,0.0015732543,0.5859075995
148,zeːn,1583,0.001566328,0.5874739275
149,və,1567,0.0015504965,0.589024424
150,tsɪç,1567,0.0015504965,0.5905749205
151,zɔl,1551,0.001534665,0.5921095856
152,eːɐs,1543,0.0015267493,0.5936363349
153,veː,1541,0.0015247703,0.5951611052
154,ɒn,1539,0.0015227914,0.5966838966
155,taːx,1514,0.0014980547,0.5981819513
156,ç,1508,0.0014921179,0.5996740692
157,zɪç,1495,0.0014792548,0.601153324
158,moːn,1492,0.0014762864,0.6026296104
159,fraʊ,1473,0.0014574865,0.6040870969
160,vɛː,1470,0.0014545181,0.605541615
161,faːɐn,1465,0.0014495708,0.6069911858
162,ɐs,1437,0.0014218657,0.6084130515
163,fyːɐ,1426,0.0014109815,0.609824033
164,jɛts,1420,0.0014050447,0.6112290777
165,hn,1418,0.0014030658,0.6126321435
166,ɡuː,1412,0.001397129,0.6140292724
167,naʊ,1400,0.0013852553,0.6154145278
168,tsuːk,1376,0.0013615081,0.6167760359
169,vaːr,1350,0.0013357819,0.6181118178
170,zeː,1349,0.0013347925,0.6194466103
171,ɒɪm,1345,0.0013308346,0.6207774449
172,dɔn,1338,0.0013239083,0.6221013532
173,ɡɛɐ,1328,0.0013140136,0.6234153668
174,maː,1326,0.0013120347,0.6247274015
175,ɒɛs,1323,0.0013090663,0.6260364678
176,neːm,1316,0.00130214,0.6273386079
177,pas,1305,0.0012912559,0.6286298637
178,fluːk,1305,0.0012912559,0.6299211196
179,ɒax,1303,0.0012892769,0.6312103965
180,ɛs,1293,0.0012793823,0.6324897788
181,mœç,1282,0.0012684981,0.6337582769
182,bən,1276,0.0012625613,0.6350208382
183,laɪ,1271,0.001257614,0.6362784522
184,vaɪ,1269,0.001255635,0.6375340872
185,vɔl,1267,0.0012536561,0.6387877433
186,nuːɐ,1267,0.0012536561,0.6400413993
187,klɪç,1266,0.0012526666,0.641294066
188,ɛɐ,1265,0.0012516771,0.6425457431
189,ɒap,1249,0.0012358457,0.6437815888
190,kə,1235,0.0012219931,0.6450035819
191,hiːɐ,1229,0.0012160563,0.6462196382
192,rən,1219,0.0012061616,0.6474257998
193,møː,1213,0.0012002248,0.6486260246
194,pro,1209,0.0011962669,0.6498222915
195,ŋ,1208,0.0011952775,0.651017569
196,ɒʊm,1207,0.001194288,0.652211857
197,ɡlaɪç,1205,0.0011923091,0.6534041661
198,ɒoː,1196,0.0011834038,0.6545875699
199,dəs,1185,0.0011725197,0.6557600896
200,ni,1180,0.0011675724,0.656927662
201,zaːŋ,1179,0.0011665829,0.6580942449
202,hat,1174,0.0011616356,0.6592558804
203,ɡants,1172,0.0011596566,0.660415537
204,hɛɐ,1162,0.0011497619,0.661565299
205,teː,1151,0.0011388778,0.6627041767
206,tsɪs,1128,0.00111612,0.6638202968
207,mɐ,1127,0.0011151306,0.6649354273
208,hɪn,1125,0.0011131516,0.6660485789
209,kœm,1115,0.0011032569,0.6671518359
210,ɒa,1114,0.0011022675,0.6682541033
211,liː,1110,0.0010983096,0.6693524129
212,tsvan,1107,0.0010953412,0.6704477541
213,na,1104,0.0010923728,0.6715401269
214,vʏɐd,1094,0.0010824781,0.672622605
215,li,1079,0.0010676361,0.6736902411
216,eː,1078,0.0010666466,0.6747568877
217,ʃprɛç,1072,0.0010607098,0.6758175975
218,baːr,1071,0.0010597203,0.6768773178
219,man,1070,0.0010587309,0.6779360487
220,ɒaʊf,1065,0.0010537835,0.6789898322
221,ɡeːn,1059,0.0010478467,0.6800376789
222,ɒaʊx,1055,0.0010438888,0.6810815678
223,fʏ,1052,0.0010409204,0.6821224882
224,mʊs,1050,0.0010389415,0.6831614297
225,voː,1049,0.001037952,0.6841993818
226,fʏm,1049,0.001037952,0.6852373338
227,baːn,1048,0.0010369626,0.6862742964
228,hoːf,1045,0.0010339942,0.6873082906
229,dən,1045,0.0010339942,0.6883422847
230,zɪn,1031,0.0010201416,0.6893624263
231,tsvaːr,1024,0.0010132153,0.6903756417
232,lə,1008,0.0009973838,0.6913730255
233,kaɪ,1005,0.0009944154,0.692367441
234,tɪç,1004,0.000993426,0.6933608669
235,bɪt,999,0.0009884786,0.6943493456
236,dn,995,0.0009845208,0.6953338663
237,ɐm,991,0.0009805629,0.6963144292
238,sn,990,0.0009795734,0.6972940026
239,vaɪl,985,0.0009746261,0.6982686287
240,ɒɛn,975,0.0009647314,0.6992333601
241,feː,974,0.0009637419,0.700197102
242,naɪn,962,0.0009518683,0.7011489704
243,ziːt,952,0.0009419736,0.702090944
244,neːɐ,951,0.0009409842,0.7030319282
245,re,949,0.0009390052,0.7039709334
246,eːɐ,948,0.0009380158,0.7049089491
247,no,946,0.0009360368,0.705844986
248,zɔn,934,0.0009241632,0.7067691492
249,duː,923,0.0009132791,0.7076824282
250,tsɪm,920,0.0009103107,0.7085927389
251,leː,919,0.0009093212,0.7095020601
252,mən,918,0.0009083317,0.7104103918
253,ɒeː,918,0.0009083317,0.7113187235
254,xən,917,0.0009073422,0.7122260658
255,tsɪks,904,0.0008944792,0.7131205449
256,tsvœlf,899,0.0008895318,0.7140100767
257,rʏk,898,0.0008885424,0.7148986191
258,rɛçt,897,0.0008875529,0.715786172
259,da,891,0.0008816161,0.7166677881
260,ɛn,890,0.0008806266,0.7175484147
261,tsn,885,0.0008756793,0.7184240939
262,ax,875,0.0008657846,0.7192898785
263,zaː,872,0.0008628162,0.7201526947
264,ɒɪs,859,0.0008499531,0.7210026478
265,ɡan,854,0.0008450058,0.7218476536
266,aɪŋ,847,0.0008380795,0.7226857331
267,ziːp,837,0.0008281848,0.7235139179
268,zɛç,835,0.0008262059,0.7243401237
269,v,830,0.0008212585,0.7251613822
270,fliː,830,0.0008212585,0.7259826408
271,zn,828,0.0008192796,0.7268019204
272,u,817,0.0008083954,0.7276103158
273,sɪç,810,0.0008014692,0.728411785
274,miː,810,0.0008014692,0.7292132541
275,tsɪçs,807,0.0007985008,0.7300117549
276,jan,807,0.0007985008,0.7308102556
277,rɪç,804,0.0007955324,0.731605788
278,nɔ,802,0.0007935534,0.7323993414
279,dam,799,0.000790585,0.7331899264
280,ar,799,0.000790585,0.7339805114
281,naːm,793,0.0007846482,0.7347651596
282,naː,791,0.0007826693,0.7355478289
283,nʊns,790,0.0007816798,0.7363295087
284,zaɪn,789,0.0007806903,0.737110199
285,ɡɪŋ,789,0.0007806903,0.7378908894
286,bru,788,0.0007797009,0.7386705902
287,vʊn,784,0.000775743,0.7394463332
288,ʃøːn,784,0.000775743,0.7402220762
289,kiː,781,0.0007727746,0.7409948508
290,sɪs,779,0.0007707957,0.7417656465
291,ɡɔt,778,0.0007698062,0.7425354526
292,ɛt,776,0.0007678272,0.7433032799
293,zɛks,766,0.0007579326,0.7440612125
294,fiːl,765,0.0007569431,0.7448181556
295,to,763,0.0007549642,0.7455731197
296,ʃtʊn,762,0.0007539747,0.7463270944
297,vɛm,758,0.0007500168,0.7470771112
298,ɒɛɐ,758,0.0007500168,0.747827128
299,daŋ,756,0.0007480379,0.7485751659
300,rɪl,754,0.0007460589,0.7493212249
301,ɡryːs,746,0.0007381432,0.7500593681
302,dɛŋ,746,0.0007381432,0.7507975113
303,ɒiː,743,0.0007351748,0.7515326861
304,bɛs,739,0.0007312169,0.752263903
305,ɡuːn,734,0.0007262696,0.7529901726
306,tsaɪ,733,0.0007252801,0.7537154527
307,mə,732,0.0007242907,0.7544397434
308,faŋ,732,0.0007242907,0.755164034
309,halp,731,0.0007233012,0.7558873352
310,ka,730,0.0007223117,0.7566096469
311,ts,722,0.000714396,0.7573240429
312,z,721,0.0007134065,0.7580374494
313,tsən,720,0.000712417,0.7587498664
314,ʊŋ,713,0.0007054908,0.7594553572
315,noː,712,0.0007045013,0.7601598585
316,mɛɐts,707,0.0006995539,0.7608594124
317,vaɪs,702,0.0006946066,0.761554019
318,nat,701,0.0006936171,0.7622476362
319,ʃlaː,697,0.0006896593,0.7629372954
320,mi,691,0.0006837225,0.7636210179
321,hʊn,690,0.000682733,0.7643037509
322,nɔʏ,679,0.0006718488,0.7649755997
323,neːçs,678,0.0006708594,0.7656464591
324,ʃlɛçt,677,0.0006698699,0.766316329
325,dɔɐt,670,0.0006629436,0.7669792726
326,høːɐn,669,0.0006619542,0.7676412268
327,zams,663,0.0006560174,0.7682972441
328,rɛs,663,0.0006560174,0.7689532615
329,hɔʏ,663,0.0006560174,0.7696092788
330,sə,648,0.0006411753,0.7702504542
331,haɪ,646,0.0006391964,0.7708896506
332,zuː,642,0.0006352385,0.7715248891
333,bm,642,0.0006352385,0.7721601276
334,toː,633,0.0006263333,0.7727864609
335,aːk,632,0.0006253438,0.7734118048
336,bɛɐk,625,0.0006184176,0.7740302223
337,ɒaʊs,624,0.0006174281,0.7746476504
338,o,621,0.0006144597,0.7752621101
339,nɪ,618,0.0006114913,0.7758736014
340,veːɐ,615,0.0006085229,0.7764821243
341,de,615,0.0006085229,0.7770906472
342,fɪn,608,0.0006015966,0.7776922438
343,ɐt,605,0.0005986282,0.778290872
344,laŋ,601,0.0005946703,0.7788855423
345,ɡaːr,601,0.0005946703,0.7794802126
346,baɪts,601,0.0005946703,0.7800748829
347,ɔɐ,601,0.0005946703,0.7806695533
348,vɪɐt,599,0.0005926914,0.7812622447
349,las,599,0.0005926914,0.7818549361
350,kaɪn,599,0.0005926914,0.7824476275
351,ɪɐŋ,599,0.0005926914,0.7830403188
352,moː,587,0.0005808178,0.7836211366
353,tseː,584,0.0005778494,0.784198986
354,ʃaʊn,583,0.0005768599,0.7847758459
355,əl,581,0.000574881,0.7853507269
356,tsɛn,578,0.0005719126,0.7859226394
357,deː,577,0.0005709231,0.7864935625
358,çn,568,0.0005620179,0.7870555804
359,mark,561,0.0005550916,0.787610672
360,haʊpt,559,0.0005531127,0.7881637847
361,meːɐ,558,0.0005521232,0.7887159079
362,biː,558,0.0005521232,0.7892680311
363,te,557,0.0005511337,0.7898191648
364,f,557,0.0005511337,0.7903702985
365,ɒɛl,555,0.0005491548,0.7909194533
366,zɐ,551,0.0005451969,0.7914646503
367,ɡɛɐn,547,0.0005412391,0.7920058893
368,bʊɐk,546,0.0005402496,0.7925461389
369,loːs,545,0.0005392601,0.793085399
370,ɔp,540,0.0005343128,0.7936197118
371,jeː,538,0.0005323338,0.7941520456
372,ɒaxt,538,0.0005323338,0.7946843795
373,fɔl,537,0.0005313444,0.7952157238
374,drɪt,537,0.0005313444,0.7957470682
375,ha,534,0.000528376,0.7962754442
376,ʃtat,532,0.000526397,0.7968018412
377,aːks,529,0.0005234286,0.7973252698
378,lɛts,524,0.0005184813,0.7978437511
379,çən,524,0.0005184813,0.7983622324
380,vɛl,523,0.0005174918,0.7988797242
381,tət,523,0.0005174918,0.799397216
382,bleːm,522,0.0005165023,0.7999137184
383,fɔɐ,519,0.0005135339,0.8004272523
384,zɛk,517,0.000511555,0.8009388073
385,iːɐ,517,0.000511555,0.8014503623
386,zɛɐ,515,0.0005095761,0.8019599384
387,tsvɪʃ,515,0.0005095761,0.8024695145
388,ɒe,515,0.0005095761,0.8029790906
389,klaːr,513,0.0005075971,0.8034866877
390,kar,503,0.0004977025,0.8039843902
391,ɡɐ,500,0.0004947341,0.8044791242
392,ɡʊst,498,0.0004927551,0.8049718793
393,di,497,0.0004917656,0.805463645
394,nɛn,493,0.0004878078,0.8059514527
395,ɡraː,491,0.0004858288,0.8064372816
396,dnʊŋ,491,0.0004858288,0.8069231104
397,dl,489,0.0004838499,0.8074069603
398,tsuːɐ,488,0.0004828604,0.8078898207
399,voːl,484,0.0004789026,0.8083687233
400,mɔɐ,482,0.0004769236,0.8088456469
401,kœnt,478,0.0004729658,0.8093186127
402,mʏn,477,0.0004719763,0.809790589
403,daʊ,476,0.0004709868,0.8102615758
404,daz,474,0.0004690079,0.8107305837
405,fɛst,470,0.00046505,0.8111956337
406,ɒeːɐs,469,0.0004640605,0.8116596942
407,axt,465,0.0004601027,0.8121197969
408,aːb,464,0.0004591132,0.8125789101
409,mo,463,0.0004581237,0.8130370338
410,jɛtst,461,0.0004561448,0.8134931786
411,daŋk,460,0.0004551553,0.8139483339
412,ɡɪ,457,0.0004521869,0.8144005209
413,aɪm,457,0.0004521869,0.8148527078
414,i,456,0.0004511975,0.8153039052
415,fil,456,0.0004511975,0.8157551027
416,ʃtɛl,451,0.0004462501,0.8162013528
417,vɪ,450,0.0004452606,0.8166466134
418,ɔk,449,0.0004442712,0.8170908846
419,zɪnt,448,0.0004432817,0.8175341663
420,tʊŋ,447,0.0004422922,0.8179764586
421,fry,447,0.0004422922,0.8184187508
422,dɪŋs,446,0.0004413028,0.8188600536
423,aːx,446,0.0004413028,0.8193013564
424,kɔn,442,0.0004373449,0.8197387013
425,ɛts,442,0.0004373449,0.8201760462
426,ɐn,442,0.0004373449,0.8206133911
427,fn,438,0.000433387,0.8210467781
428,ʃaʊ,438,0.000433387,0.8214801651
429,ɒuːɐ,436,0.0004314081,0.8219115732
430,ham,435,0.0004304186,0.8223419918
431,daf,433,0.0004284397,0.8227704315
432,niː,429,0.0004244818,0.8231949133
433,ɡʊŋ,427,0.0004225029,0.8236174162
434,fryː,426,0.0004215134,0.8240389296
435,kaː,425,0.0004205239,0.8244594536
436,zɔns,418,0.0004135977,0.8248730512
437,maxt,418,0.0004135977,0.8252866489
438,fax,418,0.0004135977,0.8257002466
439,ʃpiːl,418,0.0004135977,0.8261138442
440,ɛlf,418,0.0004135977,0.8265274419
441,laɪç,417,0.0004126082,0.8269400501
442,faːn,417,0.0004126082,0.8273526583
443,buː,416,0.0004116187,0.827764277
444,ɡans,415,0.0004106293,0.8281749063
445,fal,414,0.0004096398,0.8285845461
446,mʊns,413,0.0004086503,0.8289931964
447,ɒɛlf,413,0.0004086503,0.8294018467
448,vɪɐ,412,0.0004076609,0.8298095076
449,ɒɪst,410,0.0004056819,0.8302151895
450,nɔh,408,0.000403703,0.8306188925
451,beː,406,0.000401724,0.8310206166
452,sʊm,405,0.0004007346,0.8314213511
453,heːɐ,405,0.0004007346,0.8318220857
454,as,404,0.0003997451,0.8322218308
455,ze,403,0.0003987556,0.8326205865
456,dɛs,402,0.0003977662,0.8330183527
457,ʃtan,402,0.0003977662,0.8334161188
458,tɪ,400,0.0003957872,0.8338119061
459,dɪç,398,0.0003938083,0.8342057144
460,tsɔʏk,397,0.0003928188,0.8345985332
461,vɪs,395,0.0003908399,0.8349893731
462,ʃɛfts,391,0.000386882,0.8353762551
463,ruː,389,0.0003849031,0.8357611582
464,ɒɪ,389,0.0003849031,0.8361460613
465,la,388,0.0003839136,0.8365299749
466,tsɛm,384,0.0003799558,0.8369099307
467,plaːn,384,0.0003799558,0.8372898864
468,oːɐ,381,0.0003769873,0.8376668738
469,peː,380,0.0003759979,0.8380428717
470,ʃoː,379,0.0003750084,0.8384178801
471,faː,377,0.0003730295,0.8387909096
472,nʊŋ,376,0.00037204,0.8391629496
473,ʃlaːŋ,375,0.0003710505,0.8395340001
474,tʃʏs,373,0.0003690716,0.8399030717
475,aːm,373,0.0003690716,0.8402721433
476,ɛl,372,0.0003680821,0.8406402254
477,tɛm,369,0.0003651137,0.8410053392
478,fiː,368,0.0003641243,0.8413694634
479,kɔs,367,0.0003631348,0.8417325982
480,zɛp,360,0.0003562085,0.8420888067
481,rɛç,359,0.000355219,0.8424440258
482,laʊp,359,0.000355219,0.8427992448
483,çə,359,0.000355219,0.8431544639
484,ɡʏns,358,0.0003542296,0.8435086935
485,nuː,357,0.0003532401,0.8438619336
486,faːrt,357,0.0003532401,0.8442151737
487,tsvaɪns,355,0.0003512612,0.8445664349
488,fən,355,0.0003512612,0.844917696
489,ns,352,0.0003482928,0.8452659888
490,dʊŋ,350,0.0003463138,0.8456123027
491,va,349,0.0003453244,0.845957627
492,lɛn,349,0.0003453244,0.8463029514
493,ɒar,348,0.0003443349,0.8466472863
494,ɛm,347,0.0003433454,0.8469906317
495,veːɐn,346,0.000342356,0.8473329877
496,ɡəs,346,0.000342356,0.8476753436
497,ʃn,346,0.000342356,0.8480176996
498,draɪns,345,0.0003413665,0.8483590661
499,ɒyː,342,0.0003383981,0.8486974642
500,tns,341,0.0003374086,0.8490348728
501,tsə,339,0.0003354297,0.8493703025
502,nɛː,337,0.0003334508,0.8497037533
503,ɒʊns,337,0.0003334508,0.850037204
504,ɪns,337,0.0003334508,0.8503706548
505,at,336,0.0003324613,0.850703116
506,nas,335,0.0003314718,0.8510345878
507,nɪçts,335,0.0003314718,0.8513660597
508,sɪçs,334,0.0003304823,0.851696542
509,rãː,333,0.0003294929,0.8520260349
510,ʃɛf,333,0.0003294929,0.8523555278
511,fraː,332,0.0003285034,0.8526840312
512,laɪt,331,0.0003275139,0.8530115451
513,nəm,330,0.0003265245,0.8533380696
514,ɡʊs,329,0.000325535,0.8536636046
515,xŋ,328,0.0003245455,0.8539881501
516,aːmt,327,0.0003235561,0.8543117062
517,zam,326,0.0003225666,0.8546342728
518,rɐ,326,0.0003225666,0.8549568394
519,za,325,0.0003215771,0.8552784165
520,dʊɐç,325,0.0003215771,0.8555999937
521,ɡlaʊb,324,0.0003205877,0.8559205813
522,təs,322,0.0003186087,0.8562391901
523,ɛf,322,0.0003186087,0.8565577988
524,braʊ,319,0.0003156403,0.8568734391
525,haʊp,318,0.0003146509,0.85718809
526,ʃpeː,318,0.0003146509,0.8575027408
527,nax,317,0.0003136614,0.8578164022
528,nəs,316,0.0003126719,0.8581290741
529,foː,315,0.0003116825,0.8584407566
530,st,313,0.0003097035,0.8587504601
531,ɡɛs,313,0.0003097035,0.8590601636
532,ʃtʏnt,312,0.000308714,0.8593688777
533,ɒaʊ,310,0.0003067351,0.8596756128
534,ta,309,0.0003057456,0.8599813584
535,tɛls,309,0.0003057456,0.8602871041
536,nan,307,0.0003037667,0.8605908708
537,mɛn,300,0.0002968404,0.8608877112
538,ʃnɛl,300,0.0002968404,0.8611845516
539,ɪɐ,300,0.0002968404,0.8614813921
540,ɒɛf,299,0.000295851,0.861777243
541,tɛn,298,0.0002948615,0.8620721045
542,priː,297,0.000293872,0.8623659765
543,kʊɐts,297,0.000293872,0.8626598486
544,halt,296,0.0002928826,0.8629527311
545,ʃlaːk,296,0.0002928826,0.8632456137
546,ɡram,295,0.0002918931,0.8635375068
547,ɛnt,295,0.0002918931,0.8638293999
548,ɔn,290,0.0002869457,0.8641163456
549,ɔf,290,0.0002869457,0.8644032914
550,ziːm,289,0.0002859563,0.8646892476
551,zən,285,0.0002819984,0.8649712461
552,rəs,283,0.0002800195,0.8652512655
553,ʃaʊt,283,0.0002800195,0.865531285
554,yːɐ,281,0.0002780405,0.8658093255
555,vɛk,281,0.0002780405,0.8660873661
556,xə,280,0.0002770511,0.8663644171
557,sɐ,279,0.0002760616,0.8666404787
558,sɪks,278,0.0002750721,0.8669155509
559,mʊz,277,0.0002740827,0.8671896335
560,dɛŋk,277,0.0002740827,0.8674637162
561,tuːt,276,0.0002730932,0.8677368094
562,lən,276,0.0002730932,0.8680099026
563,tu,275,0.0002721037,0.8682820063
564,fɛːɐ,275,0.0002721037,0.8685541101
565,maɪm,273,0.0002701248,0.8688242348
566,buːx,272,0.0002691353,0.8690933702
567,tʊns,271,0.0002681459,0.869361516
568,tɪk,271,0.0002681459,0.8696296619
569,nɛt,270,0.0002671564,0.8698968183
570,past,269,0.0002661669,0.8701629852
571,sns,267,0.000264188,0.8704271732
572,haɪs,267,0.000264188,0.8706913612
573,tiːf,266,0.0002631985,0.8709545597
574,mɔɐŋs,266,0.0002631985,0.8712177582
575,tja,265,0.000262209,0.8714799672
576,sən,265,0.000262209,0.8717421763
577,mhm,265,0.000262209,0.8720043853
578,tsəl,264,0.0002612196,0.8722656049
579,traːl,264,0.0002612196,0.8725268245
580,ɡiːp,264,0.0002612196,0.8727880441
581,viːɐn,263,0.0002602301,0.8730482742
582,d,263,0.0002602301,0.8733085043
583,als,263,0.0002602301,0.8735687344
584,kœ,262,0.0002592406,0.873827975
585,nɛ,261,0.0002582512,0.8740862262
586,vɛːɐn,260,0.0002572617,0.8743434879
587,nt,259,0.0002562722,0.8745997602
588,ʏl,259,0.0002562722,0.8748560324
589,frɔʏ,258,0.0002552828,0.8751113152
590,mœçt,257,0.0002542933,0.8753656085
591,ɒɛm,257,0.0002542933,0.8756199018
592,baɪm,256,0.0002533038,0.8758732056
593,bɛɐ,256,0.0002533038,0.8761265094
594,tsm,255,0.0002523144,0.8763788238
595,tɪʃ,255,0.0002523144,0.8766311382
596,mar,255,0.0002523144,0.8768834525
597,ʃlɛç,255,0.0002523144,0.8771357669
598,zɪs,254,0.0002513249,0.8773870918
599,rɛk,254,0.0002513249,0.8776384167
600,hɛ,252,0.000249346,0.8778877627
601,ʃlɔs,252,0.000249346,0.8781371086
602,rʊm,251,0.0002483565,0.8783854651
603,ɡlaʊ,251,0.0002483565,0.8786338216
604,ɒi,250,0.000247367,0.8788811886
